fecha;Embalse;Estado;C2RCC;C2X;C2XC;Medicion
01/06/2018;Tres Torres;Hypertrophic;;;;
01/11/2018;Tres Torres;Hypertrophic;;;;
01/06/2019;Tres Torres;Hypertrophic;;;;
01/11/2019;Tres Torres;Hypertrophic;;;;
01/06/2020;Tres Torres;Hypertrophic;;;;
01/11/2020;Tres Torres;Hypertrophic;;;;49,46
01/06/2021;Tres Torres;Hypertrophic;51,69;1864,33;1437,82;76,19
01/11/2021;Tres Torres;Hypertrophic;182,06;1243,25;3860,01;111,98
01/06/2022;Tres Torres;Hypertrophic;200,47;4352,99;8227,19;331,88
01/11/2022;Tres Torres;Hypertrophic;316,16;6817,41;8263,18;278,23
