,fecha,Embalse,Buffer,Estado,Cmax,Cmean,Cmean2,Cmin,Cmin2,Medicion
157,2017-11-01,Talavan,8.0,Hypertrophic,11.583481788635254,3.0852818489074707,3.0852818489074707,0.0,0.0,
158,2017-11-01,Talavan,9.0,Hypertrophic,11.583481788635254,3.5753602981567383,6.026339054107666,0.0,1.060215711593628,
159,2017-11-01,Talavan,10.0,Hypertrophic,11.583481788635254,3.16417932510376,3.16417932510376,0.0,0.0,
160,2017-11-01,Talavan,11.0,Hypertrophic,11.583481788635254,3.375123977661133,5.830957412719727,0.0,0.1306077241897583,
161,2017-11-01,Talavan,12.0,Hypertrophic,11.583481788635254,3.164102792739868,3.164102792739868,0.0,0.0,
162,2017-11-01,Talavan,13.0,Hypertrophic,11.583481788635254,3.29105544090271,5.561503410339356,0.0,0.0314848013222217,
163,2017-11-01,Talavan,14.0,Hypertrophic,11.583481788635254,3.1086971759796143,3.1086971759796143,0.0,0.0,
164,2017-11-01,Talavan,15.0,Hypertrophic,11.583481788635254,3.0687835216522217,3.0687835216522217,0.0,0.0,
165,2017-11-01,Talavan,16.0,Hypertrophic,11.583481788635254,2.9381675720214844,2.9381675720214844,0.0,0.0,
166,2017-11-01,Talavan,17.0,Hypertrophic,11.583481788635254,2.9094462394714355,2.9094462394714355,0.0,0.0,
167,2017-11-01,Talavan,18.0,Hypertrophic,11.583481788635254,2.8285253047943115,2.8285253047943115,0.0,0.0,
168,2017-11-01,Talavan,19.0,Hypertrophic,11.583481788635254,2.804250240325928,2.804250240325928,0.0,0.0,
169,2017-11-01,Talavan,20.0,Hypertrophic,11.583481788635254,2.6588335037231445,2.6588335037231445,0.0,0.0,
170,2017-11-01,Tres Torres,,Hypertrophic,,,,,,
171,2017-11-01,la Pesga,,Eutrophic,,,,,,
172,2018-06-01,Acebo,,Mesotrophic,,,,,,
173,2018-06-01,Aguijon,,Hypertrophic,,,,,,
174,2018-06-01,Alcuescar,,Hypertrophic,,,,,,
175,2018-06-01,Aldea del Cano,,Hypertrophic,,,,,,
176,2018-06-01,Aliseda,,Eutrophic,,,,,,
177,2018-06-01,Alpotrel,,Eutrophic,,,,,,
178,2018-06-01,Arrocerezal,,Eutrophic,,,,,,
179,2018-06-01,Brozas,,Hypertrophic,,,,,,
180,2018-06-01,Burguillos del Cerro,,Hypertrophic,,,,,,
181,2018-06-01,Cantalgallo,,Eutrophic,,,,,,
182,2018-06-01,Carrascalejo,,Eutrophic,,,,,,
183,2018-06-01,El Santo,,Hypertrophic,,,,,,
184,2018-06-01,Garciaz,,Eutrophic,,,,,,
185,2018-06-01,Garganta del Obispo,,Hypertrophic,,,,,,
186,2018-06-01,Guadalupe,,Eutrophic,,,,,,
187,2018-06-01,Hervas,,Eutrophic,,,,,,
188,2018-06-01,Jaime Ozores,,Hypertrophic,,,,,,14.0
189,2018-06-01,Jaime Ozores,1.0,Hypertrophic,12.705032348632812,12.705032348632812,,12.705032348632812,,
190,2018-06-01,Jaime Ozores,2.0,Hypertrophic,12.787469863891602,12.366408348083496,12.5228910446167,11.89695930480957,12.076171875,
191,2018-06-01,Jaime Ozores,3.0,Hypertrophic,12.8950777053833,11.043587684631348,12.208552360534668,5.5944504737854,10.459866523742676,
192,2018-06-01,Jaime Ozores,4.0,Hypertrophic,12.8950777053833,11.231206893920898,12.322818756103516,5.57025957107544,10.459866523742676,
193,2018-06-01,Jaime Ozores,5.0,Hypertrophic,14.62491226196289,10.945847511291504,12.112672805786133,3.5630991458892822,8.337968826293945,
194,2018-06-01,Jaime Ozores,6.0,Hypertrophic,14.62491226196289,10.987672805786133,12.154044151306152,3.5630991458892822,8.337968826293945,
195,2018-06-01,Jaime Ozores,7.0,Hypertrophic,14.62491226196289,10.425926208496094,12.37857151031494,0.3083009719848633,8.337968826293945,
196,2018-06-01,Jaime Ozores,8.0,Hypertrophic,14.62491226196289,10.165746688842772,12.363200187683104,0.0,8.337968826293945,
197,2018-06-01,Jaime Ozores,9.0,Hypertrophic,14.62491226196289,9.871587753295898,11.86074161529541,0.0,5.560604572296143,
198,2018-06-01,Jaime Ozores,10.0,Hypertrophic,14.80724811553955,9.092968940734863,11.7599458694458,0.0,4.552240371704102,
199,2018-06-01,Jaime Ozores,11.0,Hypertrophic,14.80724811553955,8.585466384887695,11.224689483642578,0.0,3.280365467071533,
200,2018-06-01,Jaime Ozores,12.0,Hypertrophic,14.80724811553955,7.999165058135986,10.871403694152832,0.0,2.7893474102020264,
201,2018-06-01,Jaime Ozores,13.0,Hypertrophic,14.80724811553955,7.790056228637695,10.974740028381348,0.0,2.7893474102020264,
202,2018-06-01,Jaime Ozores,14.0,Hypertrophic,14.80724811553955,7.280756950378418,10.837563514709473,0.0,1.720603346824646,
203,2018-06-01,Jaime Ozores,15.0,Hypertrophic,14.80724811553955,7.039234638214111,10.870209693908691,0.0,1.720603346824646,
204,2018-06-01,Jaime Ozores,16.0,Hypertrophic,14.80724811553955,6.668868064880371,10.707565307617188,0.0,0.7315460443496704,
205,2018-06-01,Jaime Ozores,17.0,Hypertrophic,14.80724811553955,6.281603813171387,10.415302276611328,0.0,0.4236431121826172,
206,2018-06-01,Jaime Ozores,18.0,Hypertrophic,14.80724811553955,5.979336261749268,9.590618133544922,0.0,0.0765134096145629,
207,2018-06-01,Jaime Ozores,19.0,Hypertrophic,14.80724811553955,5.69657039642334,5.69657039642334,0.0,0.0,
208,2018-06-01,Jaime Ozores,20.0,Hypertrophic,14.80724811553955,5.429003715515137,5.429003715515137,0.0,0.0,
209,2018-06-01,Llerena,,Hypertrophic,,,,,,
210,2018-06-01,Los Angeles,,Hypertrophic,,,,,,
211,2018-06-01,Los Huertos,,Hypertrophic,,,,,,
212,2018-06-01,Madronnera,,Eutrophic,,,,,,
213,2018-06-01,Majadillas,,Eutrophic,,,,,,
214,2018-06-01,Majarrobledo,,Mesotrophic,,,,,,
215,2018-06-01,Membrio,,Hypertrophic,,,,,,
216,2018-06-01,Navarredonda,,Hypertrophic,,,,,,
217,2018-06-01,Navas del Madronno,,Hypertrophic,,,,,,
218,2018-06-01,Nogales,,Hypertrophic,,,,,,
219,2018-06-01,Palomero,,Eutrophic,,,,,,
220,2018-06-01,Pretura del Molino,,Mesotrophic,,,,,,
221,2018-06-01,Ribera del Castanno,,Eutrophic,,,,,,
222,2018-06-01,Rubiales,,Hypertrophic,,,,,,
223,2018-06-01,San Marcos,,Eutrophic,,,,,,
224,2018-06-01,Santa Lucia,,Eutrophic,,,,,,
225,2018-06-01,Talavan,,Hypertrophic,,,,,,8.0
226,2018-06-01,Talavan,1.0,Hypertrophic,4.307905673980713,4.307905673980713,,4.307905673980713,,
227,2018-06-01,Talavan,2.0,Hypertrophic,4.307905673980713,3.91831636428833,4.070467472076416,3.4618618488311768,3.865766286849976,
