,Embalse,Tipo,Año,Estación,Concentración
355,Pretura del Molino,Medicion,2020,o,5.58
356,Pretura del Molino,Medicion,2021,v,
357,Pretura del Molino,Medicion,2021,o,7.14
358,Pretura del Molino,Medicion,2022,v,
359,Pretura del Molino,Medicion,2022,o,8.41
360,Ribera del Castanno,Medicion,2017,v,
361,Ribera del Castanno,Medicion,2017,o,
362,Ribera del Castanno,Medicion,2018,v,
363,Ribera del Castanno,Medicion,2018,o,
364,Ribera del Castanno,Medicion,2019,v,
365,Ribera del Castanno,Medicion,2019,o,
366,Ribera del Castanno,Medicion,2020,v,
367,Ribera del Castanno,Medicion,2020,o,10.51
368,Ribera del Castanno,Medicion,2021,v,
369,Ribera del Castanno,Medicion,2021,o,20.89
370,Ribera del Castanno,Medicion,2022,v,
371,Ribera del Castanno,Medicion,2022,o,26.99
372,Rubiales,Medicion,2017,v,
373,Rubiales,Medicion,2017,o,
374,Rubiales,Medicion,2018,v,
375,Rubiales,Medicion,2018,o,
376,Rubiales,Medicion,2019,v,
377,Rubiales,Medicion,2019,o,
378,Rubiales,Medicion,2020,v,
379,Rubiales,Medicion,2020,o,74.74
380,Rubiales,Medicion,2021,v,
381,Rubiales,Medicion,2021,o,70.85
382,Rubiales,Medicion,2022,v,47.49
383,Rubiales,Medicion,2022,o,204.58
384,San Marcos,Medicion,2017,v,
385,San Marcos,Medicion,2017,o,
386,San Marcos,Medicion,2018,v,
387,San Marcos,Medicion,2018,o,
388,San Marcos,Medicion,2019,v,
389,San Marcos,Medicion,2019,o,
390,San Marcos,Medicion,2020,v,
391,San Marcos,Medicion,2020,o,6.3
392,San Marcos,Medicion,2021,v,18.88
393,San Marcos,Medicion,2021,o,27.73
394,San Marcos,Medicion,2022,v,35.68
395,San Marcos,Medicion,2022,o,27.47
396,Santa Lucia,Medicion,2017,v,
397,Santa Lucia,Medicion,2017,o,
398,Santa Lucia,Medicion,2018,v,
399,Santa Lucia,Medicion,2018,o,
400,Santa Lucia,Medicion,2019,v,
401,Santa Lucia,Medicion,2019,o,
402,Santa Lucia,Medicion,2020,v,
403,Santa Lucia,Medicion,2020,o,4.22
404,Santa Lucia,Medicion,2021,v,
405,Santa Lucia,Medicion,2021,o,10.39
406,Santa Lucia,Medicion,2022,v,
407,Santa Lucia,Medicion,2022,o,11.94
408,Talavan,Medicion,2017,v,10.8
409,Talavan,Medicion,2017,o,9.0
410,Talavan,Medicion,2018,v,8.0
411,Talavan,Medicion,2018,o,32.0
412,Talavan,Medicion,2019,v,3.0
413,Talavan,Medicion,2019,o,10.0
414,Talavan,Medicion,2020,v,
415,Talavan,Medicion,2020,o,11.67
416,Talavan,Medicion,2021,v,42.95
417,Talavan,Medicion,2021,o,35.06
418,Talavan,Medicion,2022,v,72.17
419,Talavan,Medicion,2022,o,45.02
420,Tres Torres,Medicion,2017,v,
421,Tres Torres,Medicion,2017,o,
422,Tres Torres,Medicion,2018,v,
423,Tres Torres,Medicion,2018,o,
424,Tres Torres,Medicion,2019,v,
425,Tres Torres,Medicion,2019,o,
426,Tres Torres,Medicion,2020,v,
427,Tres Torres,Medicion,2020,o,49.46
428,Tres Torres,Medicion,2021,v,76.19
429,Tres Torres,Medicion,2021,o,111.98
430,Tres Torres,Medicion,2022,v,331.88
431,Tres Torres,Medicion,2022,o,278.23
