fecha,Embalse,Estado,Cmax,Cmea2,Cmean,Cmin,Cmin2,Medicion
2020-11-01,Carrascalejo,Eutrophic,,,,,,7.3
2020-11-01,El Santo,Hypertrophic,13.987415313720703,6.976406574249268,4.888321399688721,0.0,2.482919931411743,9.77
2020-11-01,Garciaz,Eutrophic,,,,,,5.53
2020-11-01,Garganta del Obispo,Hypertrophic,,,,,,0.97
2020-11-01,Guadalupe,Eutrophic,,,,,,7.29
2020-11-01,Hervas,Eutrophic,,,,,,8.42
2020-11-01,Jaime Ozores,Hypertrophic,37.340457916259766,9.1829252243042,9.1829252243042,0.0,0.0,35.68
2020-11-01,Llerena,Hypertrophic,31.64495086669922,15.618760108947754,14.47520637512207,0.028646793216466904,6.715117931365967,44.85
2020-11-01,Los Angeles,Hypertrophic,,,,,,3.99
2020-11-01,Los Huertos,Hypertrophic,25.47312355041504,17.904722213745117,11.388001441955566,0.0,3.441894292831421,32.54
2020-11-01,Madronnera,Eutrophic,,,,,,19.76
2020-11-01,Majadillas,Eutrophic,3.154921293258667,0.417237251996994,0.417237251996994,0.0,0.0,5.16
2020-11-01,Majarrobledo,Mesotrophic,,,,,,0.4
2020-11-01,Membrio,Hypertrophic,,,,,,19.53
2020-11-01,Navarredonda,Hypertrophic,,,,,,101.63
2020-11-01,Navas del Madronno,Hypertrophic,46.46365737915039,27.1248836517334,21.887359619140625,0.0,8.0658597946167,31.19
2020-11-01,Nogales,Hypertrophic,0.0,,0.0,0.0,,37.27
2020-11-01,Palomero,Eutrophic,3.998667001724243,2.90162992477417,1.916497826576233,0.0008685428183525801,1.4780409336090088,2.35
2020-11-01,Pretura del Molino,Mesotrophic,5.770199298858643,0.806946337223053,0.806946337223053,0.0,0.0,5.58
2020-11-01,Ribera del Castanno,Eutrophic,,,,,,10.51
2020-11-01,Rubiales,Hypertrophic,,,,,,74.74
2020-11-01,San Marcos,Eutrophic,,,,,,6.3
2020-11-01,Santa Lucia,Eutrophic,7.882704257965088,0.7339749932289124,0.7339749932289124,0.041243452578783035,0.041243452578783035,4.22
2020-11-01,Talavan,Hypertrophic,,,,,,11.67
2020-11-01,Tres Torres,Hypertrophic,,,,,,49.46
2020-11-01,la Pesga,Eutrophic,,,,,,6.24
2021-06-01,Acebo,Mesotrophic,,,,,,
2021-06-01,Aguijon,Hypertrophic,,,,,,47.07
2021-06-01,Alcuescar,Hypertrophic,17.167545318603516,4.679831504821777,3.4447832107543945,0.0,0.5286343097686768,26.89
2021-06-01,Aldea del Cano,Hypertrophic,68.13229370117188,54.32727813720703,41.52902603149414,0.0016736033139750361,18.292598724365234,82.09
2021-06-01,Aliseda,Eutrophic,,,,,,
2021-06-01,Alpotrel,Eutrophic,,,,,,
2021-06-01,Arrocerezal,Eutrophic,,,,,,
